Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,7.32,6.28,4.94,1.26,19.8,78.0,140.0,7.2,848.0,Nintendo,E,"New Super Mario Bros. 2,New Super Mario Bros.,Mario",8/17/2012,12,51297,0.000233932,23,41,45361,0.00090386,1134,Aug
Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,14.08,3.9,0.16,1.58,19.72,91.0,198.0,7.9,4090.0,Bungie,M,"Halo,Reach,Halo: Reach",9/14/2010,335,11119,0.030128609,1572,411,11523,0.035667795,5253,Sep
Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,13.3,4.56,0.08,1.48,19.42,87.0,174.0,7.0,6520.0,343 Industries,M,"Halo,Halo 4",11/6/2012,1216,43388,0.028026182,49712,2100,50133,0.041888576,107012,Nov
Just Dance 2,Wii,2010,Misc,Ubisoft,11.6,5.7,0.02,1.56,18.88,74.0,48.0,7.3,48.0,Ubisoft,E10+,"Just Dance,Just Dance 2",10/12/2010,1,11523,8.68e-05,1,3,12211,0.00024568,2,Oct
The Elder Scrolls V: Skyrim,Xbox 360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011,2514,44202,0.056875255,37084,6873,40340,0.170376797,183854,Nov
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011,2514,44202,0.056875255,37084,6873,40340,0.170376797,183854,Nov
The Elder Scrolls V: Skyrim,Windows,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011,2514,44202,0.056875255,37084,6873,40340,0.170376797,183854,Nov
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015,259,32336,0.008009649,3400,230,31009,0.007417201,6232,Sep
FIFA 16,Xbox One,2015.0,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,45.0,4.4,459.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015,259,32336,0.008009649,3400,230,31009,0.007417201,6232,Sep
FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.41,1.84,0.05,0.4,2.71,,,3.2,58.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015,259,32336,0.008009649,3400,230,31009,0.007417201,6232,Sep
FIFA 16,Xbox 360,2015.0,Sports,Electronic Arts,0.57,0.88,0.0,0.12,1.57,,,2.9,45.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015,259,32336,0.008009649,3400,230,31009,0.007417201,6232,Sep
FIFA 16,Windows,2015.0,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,10.0,4.4,296.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015,259,32336,0.008009649,3400,230,31009,0.007417201,6232,Sep
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
FIFA Soccer 13,Xbox 360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
FIFA Soccer 13,Wii,2012.0,Action,Electronic Arts,0.18,0.44,0.0,0.07,0.69,,,1.6,21.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
FIFA Soccer 13,Wii U,2012.0,Action,Electronic Arts,0.17,0.27,0.0,0.04,0.47,69.0,28.0,6.2,49.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
FIFA Soccer 13,Windows,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4,86.0,7.0,6.6,286.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
FIFA Soccer 13,PSP,2012.0,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35,,,3.2,19.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
FIFA Soccer 13,3DS,2012.0,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29,68.0,4.0,3.7,16.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21e-05,1,8,40989,0.00019517400000000005,128,Sep
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,5.58,3.44,6.28,0.82,16.14,,,,,,,"Pokemon Black 2/Pokemon White 2,Pokemon,Pokemon Black 2/Pokemon White",10/12/2012,373,44208,0.008437387,22017,257,43868,0.005858485,24941,Oct
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015,342,40102,0.008528253000000001,27614,654,36181,0.018075786,27216,Nov
Star Wars Battlefront (2015),Xbox One,2015.0,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015,342,40102,0.008528253000000001,27614,654,36181,0.018075786,27216,Nov
Star Wars Battlefront (2015),Windows,2015.0,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015,342,40102,0.008528253000000001,27614,654,36181,0.018075786,27216,Nov
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016,219,34922,0.006271118000000001,1056,268,38675,0.006929541,4709,Sep
FIFA 17,Xbox One,2016.0,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,84.0,50.0,5.5,201.0,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016,219,34922,0.006271118000000001,1056,268,38675,0.006929541,4709,Sep
FIFA 17,PS3,2016.0,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73,,,3.3,21.0,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016,219,34922,0.006271118000000001,1056,268,38675,0.006929541,4709,Sep
FIFA 17,Xbox 360,2016.0,Sports,Electronic Arts,0.07,0.28,0.0,0.03,0.38,,,1.7,23.0,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016,219,34922,0.006271118000000001,1056,268,38675,0.006929541,4709,Sep
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.12,4.7,1.96,1.24,15.02,97.0,174.0,9.1,3708.0,Nintendo EAD Tokyo,E,"Super Mario Galaxy,Super Mario Galaxy 2,Mario",5/23/2010,209,10740,0.019459963,5605,254,10764,0.023597176,8597,May
Battlefield 3,Xbox 360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011,1454,31619,0.045985009,32299,1476,48583,0.030380997000000007,25257,Oct
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011,1454,31619,0.045985009,32299,1476,48583,0.030380997000000007,25257,Oct
Battlefield 3,Windows,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78,89.0,61.0,7.5,4926.0,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011,1454,31619,0.045985009,32299,1476,48583,0.030380997000000007,25257,Oct
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015,2411,35933,0.06709709700000001,214817,6915,40196,0.172032043,539257,Nov
Fallout 4,Xbox One,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015,2411,35933,0.06709709700000001,214817,6915,40196,0.172032043,539257,Nov
Fallout 4,Windows,2015.0,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015,2411,35933,0.06709709700000001,214817,6915,40196,0.172032043,539257,Nov
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,5.96,2.9,4.52,0.9,14.28,,,,,,,"Pokemon,Pokemon Sun/Moon",11/18/2016,301,45964,0.006548603,40484,424,45023,0.009417409,116810,Nov
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012,8,44703,0.00017895900000000002,1268,9,43388,0.000207431,90,Oct
Just Dance 4,Xbox 360,2012.0,Misc,Ubisoft,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012,8,44703,0.00017895900000000002,1268,9,43388,0.000207431,90,Oct
Just Dance 4,PS3,2012.0,Misc,Ubisoft,0.26,0.11,0.0,0.06,0.43,77.0,5.0,7.1,29.0,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012,8,44703,0.00017895900000000002,1268,9,43388,0.000207431,90,Oct
Just Dance 4,Wii U,2012.0,Misc,Ubisoft,0.21,0.13,0.0,0.03,0.37,66.0,14.0,7.8,37.0,Ubisoft Paris,E10+,"Just Dance 4,Just Dance",10/9/2012,8,44703,0.00017895900000000002,1268,9,43388,0.000207431,90,Oct
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,5.54,5.5,0.38,2.06,13.48,92.0,194.0,8.3,7424.0,Naughty Dog,T,"Uncharted 3,Drake's Deception,Uncharted 3: Drake's Deception",11/1/2011,11,34178,0.000321844,29,16,47416,0.00033743900000000003,113,Nov
FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007,Sep
