,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords
1387,FIFA Soccer 13,PSP,2012.0,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35,,,3.2,19.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13"
1388,EA Sports MMA,Xbox 360,2010.0,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,0.35,79.0,63.0,7,55.0,EA Tiburon,T,EA Sports MMA
1389,Defiance,PS3,2013.0,Shooter,Trion Worlds,0.19,0.1,0.0,0.06,0.35,59.0,21.0,6.9,145.0,Trion Worlds,M,Defiance
1390,Destiny: The Taken King,Xbox 360,2015.0,Shooter,Activision,0.24,0.08,0.0,0.03,0.35,,,4.4,59.0,"Bungie Software, Bungie",T,"Destiny: The Taken King,Destiny,The Taken King"
1391,Pac-Man All-Stars,PS3,2011.0,Fighting,Namco Bandai Games,0.2,0.07,0.04,0.04,0.35,,,,,,,Pac-Man All-Stars
1392,LEGO Marvel's Avengers,Xbox One,2016.0,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,71.0,18.0,5.1,15.0,TT Games,E10+,"Marvel,LEGO Marvel's Avengers"
1393,Mirror's Edge Catalyst,PS4,2016.0,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,50.0,4.7,578.0,EA DICE,T,Mirror's Edge Catalyst
1394,Sniper Elite 3,Xbox One,2014.0,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,12.0,6.6,68.0,Rebellion,M,"Sniper Elite,Sniper Elite 3"
1395,TrackMania Turbo,PS4,2016.0,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,52.0,7.9,110.0,Nadeo,E,TrackMania Turbo
1396,Tiger Woods PGA Tour 12: The Masters,Wii,2011.0,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,Electronic Arts,E,"The Masters,Tiger Woods PGA Tour 12: The Masters,Tiger Woods PGA Tour 12"
1397,Call of Duty: Ghosts,Wii U,2013.0,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,Treyarch,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts"
1398,Transformers: Dark of the Moon,PS3,2011.0,Action,Activision,0.11,0.18,0.0,0.06,0.34,57.0,41.0,5.6,27.0,High Moon Studios,T,"Transformers,Dark of the Moon,Transformers: Dark of the Moon"
1399,SpongeBob's Boating Bash,Wii,2010.0,Misc,THQ,0.24,0.07,0.0,0.03,0.34,,,7.6,5.0,Impulse Games,E,SpongeBob's Boating Bash
1400,WWE '12,Wii,2011.0,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Yuke's,T,"WWE '12,WWE"
1401,WWE All Stars,Xbox 360,2011.0,Fighting,THQ,0.18,0.14,0.0,0.03,0.34,75.0,64.0,7.2,45.0,THQ,T,"WWE All Stars,WWE"
1402,Tekken Tag Tournament 2,Xbox 360,2012.0,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0,Namco Bandai Games,T,"Tekken Tag Tournament 2,Tekken Tag Tournament"
1403,Supreme Commander 2,Xbox 360,2010.0,Strategy,Square Enix,0.23,0.09,0.0,0.03,0.34,75.0,28.0,7.1,23.0,Gas Powered Games,E10+,"Supreme Commander 2,Supreme Commander"
1404,Mario & Sonic at the Rio 2016 Olympic Games,Wii U,2016.0,Action,Nintendo,0.07,0.14,0.11,0.02,0.34,,,,,,,"Mario & Sonic at the Rio 2016 Olympic Games,Sonic,Mario"
1405,Racquet Sports,PS3,2010.0,Sports,Ubisoft,0.11,0.17,0.0,0.06,0.34,45.0,17.0,4.3,8.0,Asobo Studio,E,Racquet Sports
1406,Company of Heroes 2,Windows,2013.0,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,82.0,2.1,6157.0,Relic,M,"Company of Heroes 2,Company of Heroes"
1407,DanceDanceRevolution,Wii,2010.0,Simulation,Konami Digital Entertainment,0.28,0.04,0.0,0.02,0.34,,,tbd,,Konami,E,DanceDanceRevolution
1408,NBA 2K12,Wii,2011.0,Sports,Take-Two Interactive,0.29,0.03,0.0,0.02,0.34,,,6.8,6.0,Visual Concepts,E,"NBA,NBA 2K12"
1409,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010.0,Sports,Sega,0.09,0.19,0.0,0.07,0.34,,,,,,,Vancouver 2010 - The Official Video Game of the Olympic Winter Games
1410,Rayman Legends,Xbox One,2014.0,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,6.0,7.9,218.0,Ubisoft Montpellier,E10+,Rayman Legends
1411,Naruto Shippuden: Ultimate Ninja Impact,PSP,2011.0,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,59.0,16.0,7.2,26.0,Racjin,T,"Naruto Shippuden: Ultimate Ninja Impact,Naruto Shippuden,Naruto,Ultimate Ninja Impact"
1412,Disney Infinity 3.0,Xbox One,2015.0,Action,Disney Interactive Studios,0.2,0.11,0.0,0.03,0.34,,,,,,,Disney Infinity 3.0
1413,Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010.0,Strategy,Konami Digital Entertainment,0.13,0.04,0.14,0.03,0.34,,,,,,,"Yu-Gi-Oh! 5D's Tag Force,Yu-Gi-Oh! 5D's Tag Force 5"
1414,Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011.0,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34,77.0,49.0,7.9,78.0,Ubisoft,T,"Tom Clancy's,Shadow Wars,Tom Clancy's Ghost Recon,Tom Clancy's Ghost Recon: Shadow Wars"
1415,James Bond 007: Legends,PS3,2012.0,Shooter,Activision,0.11,0.16,0.0,0.07,0.34,,,,,,,"James Bond 007,Legends,James Bond 007: Legends"
1416,The Sims 3: Town Life Stuff,Windows,2011.0,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34,,,6.3,14.0,The Sims Studio,T,"The Sims 3,Sims,Town Life Stuff,The Sims 3: Town Life Stuff"
1417,The Shoot,PS3,2010.0,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,60.0,39.0,6.2,11.0,Cohort Studios,T,The Shoot
1418,Dead or Alive 5,PS4,2015.0,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34,,,,,,,"Dead or Alive 5,Dead or Alive"
1419,Disney Magic World 2,3DS,2015.0,Action,Nintendo,0.02,0.11,0.19,0.01,0.34,,,,,,,"Disney Magic World 2,Disney Magic World"
1420,Angry Birds Star Wars,3DS,2013.0,Strategy,Activision,0.15,0.15,0.0,0.03,0.34,,,3,8.0,Exient Entertainment,E,"Angry Birds Star Wars,Star Wars"
1421,Iron Man 2,DS,2010.0,Action,Sega,0.14,0.16,0.0,0.03,0.33,54.0,7.0,tbd,,Sega Studios San Francisco,E10+,"Iron Man,Iron Man 2"
1422,World of Final Fantasy,PS4,2016.0,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,77.0,74.0,8.3,222.0,Square Enix,E10+,"Final Fantasy,World of Final Fantasy"
1423,NHL 17,PS4,2016.0,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,26.0,5.8,67.0,"EA Canada, EA Vancouver",E10+,"NHL 17,NHL"
1424,Star Ocean 5: Integrity and Faithlessness,PS4,2016.0,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33,,,,,,,"Integrity and Faithlessness,Star Ocean 5,Star Ocean 5: Integrity and Faithlessness"
1425,Harry Potter and the Deathly Hallows - Part 2,Xbox 360,2011.0,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33,44.0,31.0,5.4,24.0,EA Bright Light,T,"Harry Potter and the Deathly Hallows - Part,Harry Potter and the Deathly Hallows - Part 2"
1426,The King of Fighters XIII,Xbox 360,2011.0,Fighting,Rising Star Games,0.23,0.06,0.01,0.03,0.33,79.0,31.0,8.2,51.0,SNK Playmore,T,The King of Fighters XIII
1427,LEGO Batman 2: DC Super Heroes,Vita,2012.0,Action,Warner Bros. Interactive Entertainment,0.16,0.11,0.0,0.06,0.33,62.0,9.0,6.7,46.0,TT Games,E10+,"Batman,DC Super Heroes,LEGO Batman 2: DC Super Heroes,LEGO Batman 2"
1428,Sniper: Ghost Warrior 2,PS3,2013.0,Shooter,City Interactive,0.05,0.18,0.03,0.07,0.33,52.0,15.0,6,82.0,City Interactive,M,"Sniper: Ghost Warrior 2,Sniper: Ghost Warrior,Sniper,Ghost Warrior 2"
1429,LEGO Pirates of the Caribbean: The Video Game,PSP,2011.0,Action,Disney Interactive Studios,0.12,0.13,0.0,0.08,0.33,67.0,5.0,tbd,,Traveller's Tales,E10+,"LEGO Pirates of the Caribbean: The Video Game,LEGO Pirates of the Caribbean,The Video Game"
1430,Cabela's Dangerous Hunts 2011,PS3,2010.0,Sports,Activision,0.26,0.04,0.0,0.03,0.33,60.0,4.0,5.4,9.0,Activision,T,"Cabela's Dangerous Hunts 2011,Cabela's Dangerous Hunts"
1431,Dragon Ball Z: Extreme Butoden,3DS,2015.0,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61.0,32.0,6.6,32.0,Arc System Works,T,"Dragon Ball Z,Dragonball,Extreme Butoden,Dragon Ball Z: Extreme Butoden"
1432,Resonance of Fate,Xbox 360,2010.0,Role-Playing,Sega,0.12,0.13,0.06,0.03,0.33,74.0,43.0,7.7,96.0,Tri-Ace,T,Resonance of Fate
1433,Harry Potter and the Deathly Hallows - Part 2,Wii,2011.0,Action,Electronic Arts,0.17,0.13,0.0,0.03,0.33,47.0,6.0,6.6,5.0,EA Bright Light,T,"Harry Potter and the Deathly Hallows - Part,Harry Potter and the Deathly Hallows - Part 2"
1434,Medal of Honor: Warfighter,Windows,2012.0,Action,Electronic Arts,0.14,0.15,0.0,0.04,0.33,55.0,30.0,5.4,599.0,Danger Close,M,"Warfighter,Medal of Honor,Medal of Honor: Warfighter"
1435,Danganronpa: Trigger Happy Havoc,Vita,2013.0,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,80.0,55.0,8.1,235.0,Spike Chunsoft,M,"Danganronpa: Trigger Happy Havoc,Danganronpa,Trigger Happy Havoc"
1436,Alien: Isolation,PS3,2014.0,Shooter,Sega,0.12,0.16,0.0,0.05,0.33,,,8.3,111.0,Creative Assembly,M,"Alien: Isolation,Alien,Isolation"
1437,Def Jam Rapstar,Wii,2010.0,Misc,Konami Digital Entertainment,0.29,0.02,0.0,0.02,0.33,65.0,5.0,tbd,,"Terminal Reality, 4mm Games",T,Def Jam Rapstar
1438,Binary Domain,PS3,2012.0,Action,Sega,0.09,0.07,0.14,0.03,0.33,72.0,33.0,8.2,179.0,Sega,M,Binary Domain
1439,Family Party: 90 Great Games Party Pack,Wii,2010.0,Misc,D3Publisher,0.31,0.0,0.0,0.02,0.33,,,tbd,,D3Publisher,E10+,"Family Party,Family Party: 90 Great Games Party Pack,90 Great Games Party Pack"
1440,DECA Sports Freedom,Xbox 360,2010.0,Sports,Hudson Soft,0.27,0.04,0.0,0.02,0.33,26.0,16.0,3.7,9.0,AI,E10+,DECA Sports Freedom
1441,Mystery Case Files: The Malgrave Incident,Wii,2011.0,Adventure,Nintendo,0.17,0.13,0.0,0.03,0.32,65.0,26.0,8.2,5.0,Sanzaru Games,E,"The Malgrave Incident,Mystery Case Files: The Malgrave Incident,Mystery Case Files"
1442,Chicken Riot,Wii,2010.0,Action,City Interactive,0.14,0.15,0.0,0.03,0.32,,,tbd,,City Interactive,T,Chicken Riot
1443,Might & Magic Heroes VI,Windows,2011.0,Role-Playing,Ubisoft,0.13,0.14,0.0,0.05,0.32,,,,,,,"Might & Magic Heroes VI,Might & Magic Heroes"
1444,Iron Man 2,Wii,2010.0,Action,Sega,0.15,0.15,0.0,0.03,0.32,41.0,11.0,4.6,12.0,High Voltage Software,T,"Iron Man,Iron Man 2"
1445,The Adventures of Tintin: The Game,Wii,2011.0,Action,Ubisoft,0.12,0.16,0.0,0.04,0.32,,,5.7,6.0,Ubisoft Montpellier,E10+,"The Adventures of Tintin,The Game,The Adventures of Tintin: The Game"
1446,Def Jam Rapstar,PS3,2010.0,Misc,Konami Digital Entertainment,0.25,0.04,0.0,0.03,0.32,75.0,25.0,6.3,4.0,"Terminal Reality, 4mm Games",T,Def Jam Rapstar
1447,Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,Sega,0.16,0.04,0.1,0.02,0.32,80.0,32.0,8.5,71.0,Sega,E10+,"Hatsune Miku,Hatsune Miku: Project Mirai DX,Project Mirai DX"
1448,Just Dance 2016,Xbox One,2015.0,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32,66.0,10.0,6.1,18.0,Ubisoft,E10+,"Just Dance,Just Dance 2016"
1449,Dead Space 2,Windows,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.04,0.32,87.0,28.0,8.3,974.0,Visceral Games,M,"Dead Space,Dead Space 2"
1450,Minute to Win It,Xbox 360,2011.0,Misc,Zoo Games,0.3,0.0,0.0,0.02,0.32,,,tbd,,Smack Down Productions,E,Minute to Win It
1451,The Black Eyed Peas Experience,Xbox 360,2011.0,Misc,Ubisoft,0.2,0.1,0.0,0.03,0.32,66.0,17.0,5.8,8.0,iNiS,T,The Black Eyed Peas Experience
1452,Remember Me,PS3,2013.0,Action,Capcom,0.1,0.17,0.0,0.06,0.32,72.0,37.0,7.4,424.0,DONTNOD Entertainment,M,Remember Me
1453,Silent Hill: Downpour,Xbox 360,2012.0,Action,Konami Digital Entertainment,0.22,0.08,0.0,0.02,0.32,68.0,38.0,7.3,269.0,Konami,M,"Silent Hill,Silent Hill: Downpour,Downpour"
1454,Dead Rising 2: Off the Record,PS3,2011.0,Action,Capcom,0.11,0.08,0.1,0.03,0.32,72.0,31.0,7.1,35.0,Capcom Vancouver,M,"Dead Rising 2,Off the Record,Dead Rising 2: Off the Record"
1455,Dragon Ball: XenoVerse,Xbox One,2015.0,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32,67.0,18.0,7.2,128.0,Dimps Corporation,T,"Dragon Ball: XenoVerse,Dragon Ball,XenoVerse,Dragonball"
1456,Dead or Alive 5,Xbox 360,2012.0,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.03,0.32,76.0,39.0,7.9,95.0,Team Ninja,M,"Dead or Alive 5,Dead or Alive"
1457,Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010.0,Platform,D3Publisher,0.22,0.08,0.0,0.03,0.32,,,tbd,,Griptonite Games,E10+,"Cosmic Destruction,Ben 10 Ultimate Alien: Cosmic Destruction,Ben 10 Ultimate Alien"
1458,Harry Potter and the Deathly Hallows - Part 2,PS3,2011.0,Action,Electronic Arts,0.14,0.13,0.0,0.05,0.32,43.0,21.0,5.7,27.0,EA Bright Light,T,"Harry Potter and the Deathly Hallows - Part,Harry Potter and the Deathly Hallows - Part 2"
1459,Just Dance 2016,Xbox 360,2015.0,Misc,Ubisoft,0.23,0.05,0.0,0.03,0.32,,,6,5.0,Ubisoft,E10+,"Just Dance,Just Dance 2016"
1460,World of Warcraft: Legion,Windows,2016.0,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32,88.0,62.0,7.5,535.0,Blizzard Entertainment,T,"World of Warcraft,WoW,World of Warcraft: Legion,Warcraft,Legion"
1461,Hatsune Miku: Project Diva F 2nd,Vita,2014.0,Misc,Sega,0.08,0.05,0.16,0.04,0.32,81.0,8.0,8.4,69.0,Sega,T,"Hatsune Miku,Project Diva F 2nd,Hatsune Miku: Project Diva F 2nd"
1462,Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,2010.0,Adventure,Disney Interactive Studios,0.17,0.12,0.0,0.03,0.32,,,tbd,,EA Bright Light,E,"Disney Fairies,Disney Fairies: Tinker Bell and the Great Fairy Rescue,Tinker Bell and the Great Fairy Rescue"
1463,Operation Flashpoint: Red River,PS3,2011.0,Shooter,Codemasters,0.06,0.14,0.07,0.05,0.32,67.0,36.0,6.3,18.0,Codemasters,M,"Operation Flashpoint,Operation Flashpoint: Red River,Red River"
1464,Power Rangers Samurai,Wii,2011.0,Action,Namco Bandai Games,0.27,0.02,0.0,0.02,0.32,45.0,4.0,tbd,,Inti Creates,E10+,Power Rangers Samurai
1465,Silent Hill HD Collection,PS3,2012.0,Action,Konami Digital Entertainment,0.15,0.1,0.03,0.04,0.32,70.0,33.0,4.8,136.0,Hijinx Studios,M,Silent Hill HD Collection
1466,Army of Two: The 40th Day,PSP,2010.0,Shooter,Electronic Arts,0.12,0.13,0.0,0.08,0.32,49.0,11.0,6,32.0,"Buzz Monkey, EA Montreal",M,"Army of Two,Army of Two: The 40th Day,The 40th Day"
1467,Persona 4: Dancing All Night,Vita,2015.0,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76.0,51.0,8.6,83.0,"Atlus, Dingo Inc.",T,"Persona,Dancing All Night,Persona 4: Dancing All Night,Persona 4"
1468,"Carnival Games: Monkey See, Monkey Do!",Xbox 360,2011.0,Misc,Take-Two Interactive,0.14,0.15,0.0,0.03,0.32,,,,,,,"Monkey See, Monkey Do!,Carnival Games,Carnival Games: Monkey See, Monkey Do!"
1469,Wipeout 2,Wii,2011.0,Misc,Activision,0.3,0.0,0.0,0.02,0.32,,,tbd,,Endemol,E10+,"Wipeout 2,Wipeout"
1470,Murdered: Soul Suspect,PS4,2014.0,Action,Square Enix,0.09,0.16,0.02,0.05,0.32,59.0,60.0,6.9,310.0,Airtight Games,M,"Soul Suspect,Murdered: Soul Suspect,Murdered"
1471,The Darkness II,PS3,2012.0,Shooter,Take-Two Interactive,0.14,0.13,0.0,0.05,0.32,79.0,28.0,7.6,127.0,Digital Extremes,M,"The Darkness II,The Darkness"
1472,Cabela's Dangerous Hunts 2011,Xbox 360,2010.0,Sports,Activision,0.28,0.01,0.0,0.02,0.32,55.0,7.0,tbd,,Activision,T,"Cabela's Dangerous Hunts 2011,Cabela's Dangerous Hunts"
1473,Power Rangers Samurai,DS,2011.0,Action,Namco Bandai Games,0.26,0.04,0.0,0.02,0.32,,,tbd,,Inti Creates,E10+,Power Rangers Samurai
1474,Rise of the Tomb Raider,Xbox 360,2015.0,Adventure,Square Enix,0.18,0.11,0.0,0.03,0.32,,,7.5,178.0,Nixxes Software,M,"Rise of the Tomb Raider,Tomb Raider"
1475,Fable III,Windows,2011.0,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32,75.0,39.0,5.4,555.0,Lionhead Studios,M,"Fable,Fable III"
1476,Lord of Arcana,PSP,2010.0,Role-Playing,Square Enix,0.07,0.04,0.17,0.03,0.32,53.0,45.0,5.5,21.0,Access Games,M,Lord of Arcana
1477,Phineas and Ferb: Across the 2nd Dimension,PS3,2011.0,Action,Disney Interactive Studios,0.15,0.11,0.0,0.05,0.32,63.0,13.0,6.6,9.0,High Impact Games,E10+,"Across the 2nd Dimension,Phineas and Ferb: Across the 2nd Dimension,Phineas and Ferb"
1478,LEGO Marvel's Avengers,Xbox 360,2016.0,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0.0,0.03,0.32,,,5.7,6.0,TT Games,E10+,"Marvel,LEGO Marvel's Avengers"
1479,Skylanders SWAP Force,Xbox One,2013.0,Platform,Activision,0.22,0.06,0.0,0.03,0.32,,,5.5,43.0,Vicarious Visions,E10+,Skylanders SWAP Force
1480,F1 Race Stars,PS3,2012.0,Racing,Codemasters,0.06,0.19,0.0,0.06,0.32,61.0,27.0,5.6,34.0,Codemasters,E,F1 Race Stars
1481,BlazBlue: Continuum Shift,Xbox 360,2010.0,Fighting,PQube,0.23,0.04,0.02,0.02,0.31,85.0,32.0,8.7,26.0,Arc System Works,T,"Continuum Shift,BlazBlue: Continuum Shift,BlazBlue"
1482,Etrian Odyssey III: The Drowned City,DS,2010.0,Role-Playing,Atlus,0.12,0.0,0.19,0.01,0.31,77.0,23.0,8,21.0,Atlus,E10+,"Etrian Odyssey III,Etrian Odyssey III: The Drowned City,The Drowned City"
1483,Batman: Arkham Origins,Windows,2013.0,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31,74.0,17.0,7.5,1170.0,Iron Galaxy Studios,T,"Batman,Batman: Arkham Origins,Arkham Origins"
1484,Fate/Extra,PSP,2010.0,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31,58.0,10.0,8.1,39.0,"Image Epoch, Imageepoch",T,Fate/Extra
1485,Drakengard 3,PS3,2013.0,Role-Playing,Square Enix,0.1,0.0,0.19,0.02,0.31,61.0,33.0,7.7,237.0,Access Games,M,"Drakengard 3,Drakengard"
1486,Catherine,Xbox 360,2011.0,Adventure,Deep Silver,0.2,0.06,0.03,0.02,0.31,82.0,39.0,7.9,153.0,Atlus,M,Catherine
1487,J Stars Victory Vs.,PS3,2014.0,Fighting,Namco Bandai Games,0.05,0.05,0.2,0.02,0.31,,,7.9,11.0,Bandai Namco Games,,J Stars Victory Vs.
1488,1001 Touch Games,DS,2011.0,Action,Avanquest,0.11,0.16,0.0,0.04,0.31,,,tbd,,Avanquest Software,E,1001 Touch Games
1489,Bust-A-Move Universe,3DS,2011.0,Puzzle,Square Enix,0.08,0.15,0.06,0.03,0.31,49.0,30.0,4.8,13.0,Arika,E,Bust-A-Move Universe
1490,Batman: Arkham Origins,Wii U,2013.0,Action,Warner Bros. Interactive Entertainment,0.19,0.09,0.0,0.03,0.31,68.0,5.0,7.4,127.0,Human Head Studios,T,"Batman,Batman: Arkham Origins,Arkham Origins"
1491,Shin Megami Tensei: Devil Survivor 2,DS,2011.0,Role-Playing,Ghostlight,0.16,0.01,0.12,0.01,0.31,79.0,21.0,8.8,45.0,Atlus,T,"Devil Survivor 2,Shin Megami Tensei: Devil Survivor 2,Shin Megami Tensei: Devil Survivor,Shin Megami Tensei"
1492,Sonic Boom: Rise of Lyric,Wii U,2014.0,Action,Sega,0.19,0.09,0.0,0.03,0.31,32.0,28.0,3.6,587.0,Big Red Button Entertainment,E10+,"Rise of Lyric,Sonic Boom: Rise of Lyric,Sonic,Sonic Boom"
1493,Metro: Last Light,Xbox One,2014.0,Action,Deep Silver,0.15,0.13,0.0,0.03,0.31,,,,,,,"Metro,Last Light,Metro: Last Light"
1494,Tropico 5,PS4,2015.0,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31,76.0,17.0,7.1,110.0,Haemimont,T,"Tropico,Tropico 5"
1495,LEGO Legends of Chima: Laval's Journey,3DS,2013.0,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0.0,0.03,0.31,65.0,5.0,3.6,7.0,TT Games,E10+,"LEGO Legends of Chima: Laval's Journey,Laval's Journey,LEGO Legends of Chima"
1496,Skylanders: SuperChargers,PS4,2015.0,Action,Activision,0.17,0.08,0.0,0.05,0.31,81.0,51.0,3.3,29.0,Vicarious Visions,E10+,"Skylanders: SuperChargers,Skylanders,SuperChargers"
1497,Dark Void,Xbox 360,2010.0,Action,Capcom,0.19,0.09,0.0,0.03,0.31,59.0,69.0,6,61.0,Airtight Games,T,Dark Void
1498,Clash of the Titans,PS3,2010.0,Action,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31,41.0,28.0,1.7,17.0,Game Republic,T,Clash of the Titans
1499,Pandora's Tower,Wii,2011.0,Role-Playing,Nintendo,0.11,0.1,0.08,0.02,0.31,73.0,48.0,8,99.0,Ganbarion,T,Pandora's Tower
1500,MySims SkyHeroes,DS,2010.0,Action,Electronic Arts,0.2,0.08,0.0,0.02,0.31,,,tbd,,,,"Sims,MySims SkyHeroes"
1501,Jonah Lomu Rugby Challenge,Xbox 360,2011.0,Sports,Home Entertainment Suppliers,0.09,0.19,0.0,0.03,0.31,73.0,14.0,6,8.0,Sidhe Interactive,E,Jonah Lomu Rugby Challenge
1502,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012.0,Role-Playing,Atlus,0.13,0.02,0.14,0.01,0.31,,,,,,,"Shin Megami Tensei: Devil Summoner - Soul Hackers,Devil Summoner - Soul Hackers,Shin Megami Tensei"
1503,Mega Man Zero Collection,DS,2010.0,Platform,Capcom,0.17,0.01,0.11,0.02,0.31,78.0,15.0,8.9,39.0,"Inti, Inti Creates",E,Mega Man Zero Collection
1504,Pro Evolution Soccer 2013,Xbox 360,2012.0,Sports,Konami Digital Entertainment,0.08,0.2,0.0,0.03,0.31,82.0,33.0,6.9,77.0,Konami,E,"Pro Evolution Soccer,Pro Evolution Soccer 2013"
1505,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010.0,Strategy,Konami Digital Entertainment,0.18,0.01,0.09,0.02,0.31,,,,,,,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia
1506,TRON: Evolution,Xbox 360,2010.0,Action,Disney Interactive Studios,0.24,0.05,0.0,0.02,0.31,58.0,51.0,6,41.0,Propaganda Games,T,"Evolution,TRON: Evolution,TRON"
1507,Dragon Ball Z: Battle of Z,PS3,2014.0,Fighting,Namco Bandai Games,0.1,0.1,0.06,0.04,0.31,54.0,32.0,5.3,103.0,Artdink,T,"Dragon Ball Z,Battle of Z,Dragon Ball Z: Battle of Z,Dragonball"
1508,DmC: Devil May Cry,PS4,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31,,,,,,,"Devil May Cry,DMC,DmC,DmC: Devil May Cry"
1509,NASCAR 2011: The Game,Xbox 360,2011.0,Racing,Activision,0.29,0.0,0.0,0.02,0.3,62.0,24.0,4.1,14.0,Eutechnyx,E,"The Game,NASCAR 2011: The Game,NASCAR 2011"
1510,BlazBlue: Chrono Phantasma,PS3,2013.0,Fighting,Arc System Works,0.14,0.0,0.14,0.03,0.3,83.0,16.0,8.3,64.0,Arc System Works,T,"BlazBlue: Chrono Phantasma,BlazBlue,Chrono Phantasma"
1511,Kingdoms of Amalur: Reckoning,Windows,2012.0,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.03,0.3,81.0,25.0,6.6,1097.0,Big Huge Games,M,"Reckoning,Kingdoms of Amalur: Reckoning,Kingdoms of Amalur"
1512,Mario Party: Star Rush,3DS,2016.0,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3,68.0,37.0,6.8,16.0,"Nintendo, Nd Cube",E,"Mario,Mario Party,Mario Party: Star Rush,Star Rush"
1513,Naruto Shippuden: Ultimate Ninja Storm 4,Xbox One,2016.0,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3,81.0,11.0,8.5,51.0,CyberConnect2,T,"Naruto Shippuden,Ultimate Ninja Storm 4,Naruto Shippuden: Ultimate Ninja Storm,Naruto Shippuden: Ultimate Ninja Storm 4,Naruto"
1514,Shrek: Forever After,DS,2010.0,Platform,Activision,0.18,0.1,0.0,0.03,0.3,,,,,,,"Forever After,Shrek,Shrek: Forever After"
1515,Batman: Arkham VR,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,75.0,59.0,7.3,89.0,Rocksteady Studios,M,"Batman,Batman: Arkham VR,Arkham VR"
1516,The King of Fighters XIII,PS3,2011.0,Fighting,Rising Star Games,0.17,0.06,0.04,0.03,0.3,77.0,26.0,8.2,76.0,SNK Playmore,T,The King of Fighters XIII
1517,Sniper Elite 3,Xbox 360,2014.0,Shooter,505 Games,0.16,0.12,0.0,0.03,0.3,,,6.6,26.0,Rebellion,M,"Sniper Elite,Sniper Elite 3"
