,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords
94,Fallout: New Vegas,Xbox 360,2010.0,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,84.0,81.0,8.1,769.0,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas"
95,Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M,Watch Dogs
96,Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4"
97,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,79.0,9.2,10179.0,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt"
98,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal",M,"Assassin's Creed: Unity,Unity,Assassin's Creed"
99,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,89.0,7.6,2679.0,Rocksteady Studios,M,"Batman,Arkham Knight,Batman: Arkham Knight"
100,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8,1958.0,Nintendo,E10+,"Zelda,The Legend of Zelda,The Legend of Zelda: Skyward Sword,Skyward Sword"
101,Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,86.0,80.0,8.7,348.0,Capcom,T,"Monster Hunter 4 Ultimate,Monster Hunter"
102,The Elder Scrolls V: Skyrim,Windows,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V"
103,NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,51.0,6.7,364.0,Visual Concepts,E10+,"NBA,NBA 2K16"
104,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,1.44,1.41,0.73,0.27,3.85,,,,,,,Nintendogs + cats
105,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.13,1.12,0.1,0.5,3.84,76.0,64.0,7.9,104.0,"SCEA, Zindagi Games",E10+,Sports Champions
106,Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78.0,49.0,3.7,1564.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts"
107,Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80.0,64.0,7,2219.0,Massive Entertainment,M,"Tom Clancy's,Tom Clancy's The Division"
108,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,1.12,1.87,0.27,0.45,3.72,,,,,,,"Sonic,Mario,Mario & Sonic at the London 2012 Olympic Games"
109,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.0,36.0,8.1,840.0,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag"
110,Star Wars Battlefront (2015),Xbox One,2015.0,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront"
