Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
Nintendo Land,Wii U,2012,Misc,Nintendo,5.04,2.22,0.92,0.66,8.84,77.0,122.0,7.9,942.0,Nintendo,E10+,Nintendo Land,11/18/2012,0,47446,0.0,0,0,48637,0.0,0,Nov
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,5.6,2.71,0.02,0.82,9.12,,,7.35,73.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,"The Experience,Michael Jackson,Michael Jackson: The Experience",11/6/2010,35,11859,0.002951345,339,34,14469,0.002349851,586,Nov
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,2.96,4.04,0.28,1.36,8.64,,,,,,,Minecraft,9/4/2014,360,30577,0.011773555,7940,0,26994,0.0,0,Sep
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,5.07,5.49,0.24,1.83,12.63,80.0,155.0,7.4,1790.0,Ubisoft Montreal,M,"Assassin's Creed: Revelations,Assassin's Creed,Revelations",11/15/2011,164,47876,0.003425516,2102,149,38159,0.003904714,1706,Nov
Battlefield 1,PS4,2016,Shooter,Electronic Arts,3.59,5.31,0.42,1.45,10.79,87.75,153.0,8.15,3195.0,EA DICE,M,"Battlefield,Battlefield 1",10/21/2016,733,37409,0.019594215,32722,0,45964,0.0,0,Oct
Fallout: New Vegas,Xbox 360,2010,Role-Playing,Bethesda Softworks,7.43,3.54,0.18,1.26,12.38,83.5,258.0,8.15,4784.0,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas",10/19/2010,113,11251,0.010043551999999999,1517,719,12667,0.056761664,20199,Oct
Watch Dogs,PS4,2014,Action,Ubisoft,5.13,5.81,0.33,1.83,13.11,,,5.533333333,10707.0,Ubisoft Montreal,M,Watch Dogs,5/27/2014,448,30859,0.014517645,16822,1235,37813,0.032660725,52459,May
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.0,6.54,0.29,1.71,12.53,,,7.316666667000001,4975.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4",11/18/2014,220,29614,0.007428919,4934,676,29930,0.022586033999999998,30638,Nov
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,2.94,5.22,0.46,1.34,9.97,92.0,203.0,9.225,34986.0,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt",5/19/2015,393,32297,0.012168313,10096,289,36377,0.00794458,1866,May
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,4.83,5.37,0.16,1.61,11.97,70.5,149.0,4.225,6568.0,"Ubisoft, Ubisoft Montreal",M,"Assassin's Creed: Unity,Unity,Assassin's Creed",11/11/2014,198,28394,0.0069733040000000005,4148,749,31177,0.02402412,20551,Nov
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,4.03,3.88,0.2,1.43,9.52,82.25,208.0,6.075,8019.0,Rocksteady Studios,M,"Batman,Arkham Knight,Batman: Arkham Knight",6/23/2015,301,37749,0.007973721,7428,773,29642,0.026077862,42633,Jun
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,4.06,2.32,0.74,0.76,7.9,93.0,162.0,8.0,3916.0,Nintendo,E10+,"Zelda,The Legend of Zelda,The Legend of Zelda: Skyward Sword,Skyward Sword",11/20/2011,562,48809,0.01151427,11715,435,36838,0.011808458999999999,10756,Nov
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,8.2,1.7,0.09,1.86,11.88,,,5.516666667000001,945.0,Visual Concepts,E10+,"NBA,NBA 2K16",9/29/2015,71,31433,0.002258773,1390,65,31978,0.0020326470000000003,4394,Sep
Nintendogs + cats,3DS,2011,Simulation,Nintendo,2.88,2.82,1.46,0.54,7.7,,,,,,,Nintendogs + cats,3/27/2011,0,18630,0.0,0,4,24031,0.000166452,3,Mar
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,4.26,2.24,0.2,1.0,7.68,76.0,128.0,7.9,208.0,"SCEA, Zindagi Games",E10+,Sports Champions,9/17/2010,0,11383,0.0,0,0,11165,0.0,0,Sep
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,4.21,4.23,0.3,1.44,10.17,79.75,194.0,6.675,6240.0,Massive Entertainment,M,"Tom Clancy's,Tom Clancy's The Division",3/8/2016,91,32722,0.002781004,192,146,32173,0.004537967,12296,Mar
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,2.24,3.74,0.54,0.9,7.44,,,,,,,"Sonic,Mario,Mario & Sonic at the London 2012 Olympic Games",11/15/2011,419,47876,0.008751775,3985,97,38159,0.002541995,1992,Nov
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,4.73,4.56,0.27,1.46,11.01,87.0,112.0,7.95,2588.0,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",10/29/2013,95,40147,0.002366304,232,448,52486,0.008535609,24268,Oct
Battlefield 4,PS4,2013,Shooter,Electronic Arts,2.7,3.1,0.34,1.02,7.18,85.0,36.0,6.9,3160.0,EA DICE,M,"Battlefield,Battlefield 4",11/15/2013,748,44506,0.016806723,46970,732,50970,0.014361388999999999,30643,Nov
Just Dance 2014,Wii,2013,Misc,Ubisoft,5.45,3.59,0.0,0.94,10.01,,,6.771428571,232.0,Ubisoft,E10+,"Just Dance,Just Dance 2014",10/8/2013,7,51400,0.00013618700000000002,15,5,40860,0.000122369,5,Oct
Assassin's Creed: Brotherhood,Xbox 360,2010,Action,Ubisoft,7.57,1.31,0.17,0.77,9.8,89.33333333,221.0,8.266666667,2177.0,Ubisoft Montreal,M,"Assassin's Creed,Assassin's Creed: Brotherhood,Brotherhood",11/16/2010,48,12667,0.0037893740000000003,199,134,15009,0.008927977,1255,Nov
Battlefield 4,PS3,2013,Shooter,Electronic Arts,5.14,4.72,0.56,1.41,11.81,80.0,101.0,5.8,5217.0,EA DICE,M,"Battlefield,Battlefield 4",10/29/2013,484,40147,0.012055695,24319,134,52486,0.002553062,8476,Oct
Battlefield: Bad Company 2,Xbox 360,2010,Shooter,Electronic Arts,5.72,3.65,0.16,1.08,10.61,87.75,255.0,8.5,3777.0,EA DICE,M,"Battlefield: Bad Company,Battlefield,Bad Company 2,Battlefield: Bad Company 2",3/2/2010,173,9655,0.017918177,1492,269,11285,0.023836952,3582,Mar
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,2.93,3.15,1.21,1.12,8.39,,,7.62,9113.0,"Kojima Productions, Moby Dick Studio",M,"MGS,Metal Gear Solid V,The Phantom Pain,Metal Gear Solid V: The Phantom Pain",9/1/2015,218,30375,0.007176955,22612,493,31433,0.015684154,13964,Sep
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3.66,2.1,0.12,0.92,6.78,91.0,172.0,8.4,1314.0,Media Molecule,E,"LittleBigPlanet,LittleBigPlanet 2",1/18/2011,22,16347,0.001345813,254,42,17725,0.002369535,216,Jan
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,2.24,4.54,0.14,1.15,8.08,76.66666667,194.0,6.566666667000001,3040.0,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed Syndicate",10/23/2015,115,31289,0.0036754129999999998,545,170,41357,0.00411055,403,Oct
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.36,5.34,0.22,1.74,10.66,89.75,146.0,8.45,6512.0,Ubisoft Montreal,M,"Far Cry,Far Cry 3",12/4/2012,404,50133,0.008058564,27000,1099,48413,0.022700513999999998,48458,Dec
Gears of War: Ultimate Edition,Xbox One,2015,Shooter,Microsoft Game Studios,5.22,0.66,0.0,0.68,6.56,82.0,148.0,7.5,1126.0,"Splash Damage, The Coalition",M,"Gears,Ultimate Edition,Gears of War,Gears of War: Ultimate Edition",8/25/2015,50,29349,0.0017036360000000001,301,65,32336,0.002010143,342,Aug
Madden NFL 16,PS4,2015,Sports,Electronic Arts,8.18,0.76,0.0,1.7,10.65,,,5.22,514.0,EA Sports,E,"Madden,Madden NFL 16,Madden NFL",8/25/2015,58,29349,0.001976217,4643,83,32336,0.002566799,5510,Aug
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,1.44,3.34,0.8,0.88,6.46,81.0,162.0,7.7,1516.0,Polyphony Digital,E,"Gran Turismo 6,Gran Turismo",12/6/2013,54,52571,0.001027182,2424,43,42220,0.001018475,2942,Dec
Halo: The Master Chief Collection,Xbox One,2014,Shooter,Microsoft Game Studios,3.82,2.0,0.06,0.58,6.46,85.0,138.0,7.2,2534.0,343 Industries,M,"Halo,Halo: The Master Chief Collection,The Master Chief Collection",11/11/2014,291,28394,0.010248644,14497,457,31177,0.014658242,15493,Nov
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,4.06,3.5,0.26,1.22,9.04,89.0,239.0,7.733333332999999,2913.0,Team Bondi,M,L.A. Noire,5/17/2011,109,23329,0.004672295999999999,1891,377,27160,0.013880706999999999,13273,May
